,seg,freq,sex,type
0,f1ini,70.2734,F,WT
0,f1max,79.1016,F,WT
0,f1end,79.0625,F,WT
0,f2ini,67.3438,F,WT
0,f2max,68.3594,F,WT
0,f2end,63.4375,F,WT
0,f1ini,79.0625,F,WT
0,f1max,80.0781,F,WT
0,f1end,80.0391,F,WT
0,f2ini,79.0625,F,WT
0,f2max,79.1016,F,WT
0,f2end,78.0859,F,WT
0,f1ini,86.8750,F,WT
0,f1max,89.8438,F,WT
0,f1end,85.8984,F,WT
0,f2ini,83.9453,F,WT
0,f2max,84.9609,F,WT
0,f2end,79.0625,F,WT
0,f1ini,86.8750,F,WT
0,f1max,87.8906,F,WT
0,f1end,85.8984,F,WT
0,f2ini,79.0625,F,WT
0,f2max,83.9844,F,WT
0,f2end,71.2500,F,WT
0,f1ini,89.8047,F,WT
0,f1max,89.8438,F,WT
0,f1end,80.0391,F,WT
0,f2ini,74.1797,F,WT
0,f2max,74.2188,F,WT
0,f2end,72.2266,F,WT
0,f1ini,80.0391,F,WT
0,f1max,87.8906,F,WT
0,f1end,73.2031,F,WT
0,f2ini,71.2500,F,WT
0,f2max,71.2891,F,WT
0,f2end,72.2266,F,WT
0,f1ini,96.6406,F,WT
0,f1max,96.6797,F,WT
0,f1end,87.8516,F,WT
0,f2ini,81.9922,F,WT
0,f2max,84.9609,F,WT
0,f2end,78.0859,F,WT
0,f1ini,90.7812,F,WT
0,f1max,91.7969,F,WT
0,f1end,87.8516,F,WT
0,f2ini,76.1328,F,WT
0,f2max,77.1484,F,WT
0,f2end,69.2969,F,WT
0,f1ini,71.2500,F,WT
0,f1max,72.2656,F,WT
0,f1end,71.2500,F,WT
0,f2ini,68.3203,F,WT
0,f2max,71.2891,F,WT
0,f2end,67.3438,F,WT
0,f1ini,85.8984,F,WT
0,f1max,87.8906,F,WT
0,f1end,79.0625,F,WT
0,f2ini,84.9219,F,WT
0,f2max,85.9375,F,WT
0,f2end,85.8984,F,WT
0,f1ini,82.9688,F,WT
0,f1max,83.0078,F,WT
0,f1end,81.9922,F,WT
0,f2ini,76.1328,F,WT
0,f2max,77.1484,F,WT
0,f2end,71.2500,F,WT
0,f1ini,81.0156,F,WT
0,f1max,83.0078,F,WT
0,f1end,76.1328,F,WT
0,f2ini,70.2734,F,WT
0,f2max,72.2656,F,WT
0,f2end,70.2734,F,WT
0,f1ini,89.8047,F,WT
0,f1max,92.7734,F,WT
0,f1end,90.7812,F,WT
0,f2ini,79.0625,F,WT
0,f2max,79.1016,F,WT
0,f2end,72.2266,F,WT
0,f1ini,71.3034,F,WT
0,f1max,78.6880,F,WT
0,f1end,78.7331,F,WT
0,f2ini,68.2377,F,WT
0,f2max,68.8856,F,WT
0,f2end,63.9262,F,WT
0,f1ini,78.2731,F,WT
0,f1max,79.9349,F,WT
0,f1end,80.7721,F,WT
0,f2ini,79.8891,F,WT
0,f2max,79.0761,F,WT
0,f2end,77.5509,F,WT
0,f1ini,87.4209,F,WT
0,f1max,90.0717,F,WT
0,f1end,86.5141,F,WT
0,f2ini,85.5453,F,WT
0,f2max,84.9734,F,WT
0,f2end,79.9670,F,WT
0,f1ini,87.6896,F,WT
0,f1max,87.6808,F,WT
0,f1end,86.2552,F,WT
0,f2ini,78.3728,F,WT
0,f2max,84.2540,F,WT
0,f2end,72.0057,F,WT
0,f1ini,90.6430,F,WT
0,f1max,89.4155,F,WT
0,f1end,80.3029,F,WT
0,f2ini,73.6363,F,WT
0,f2max,75.3436,F,WT
0,f2end,73.2615,F,WT
0,f1ini,79.9239,F,WT
0,f1max,88.7772,F,WT
0,f1end,73.1032,F,WT
0,f2ini,73.4206,F,WT
0,f2max,70.8353,F,WT
0,f2end,71.9740,F,WT
0,f1ini,92.8063,F,WT
0,f1max,96.4183,F,WT
0,f1end,87.9506,F,WT
0,f2ini,82.2287,F,WT
0,f2max,85.7589,F,WT
0,f2end,78.8584,F,WT
0,f1ini,92.0111,F,WT
0,f1max,92.3397,F,WT
0,f1end,88.5114,F,WT
0,f2ini,76.7134,F,WT
0,f2max,78.9197,F,WT
0,f2end,69.7812,F,WT
0,f1ini,73.2867,F,WT
0,f1max,73.0784,F,WT
0,f1end,71.7916,F,WT
0,f2ini,68.4574,F,WT
0,f2max,70.5348,F,WT
0,f2end,67.5335,F,WT
0,f1ini,85.8303,F,WT
0,f1max,88.6549,F,WT
0,f1end,79.6864,F,WT
0,f2ini,86.0651,F,WT
0,f2max,86.6880,F,WT
0,f2end,86.2635,F,WT
0,f1ini,83.6096,F,WT
0,f1max,83.6600,F,WT
0,f1end,82.8450,F,WT
0,f2ini,76.1523,F,WT
0,f2max,76.8683,F,WT
0,f2end,70.9048,F,WT
0,f1ini,81.8877,F,WT
0,f1max,82.6267,F,WT
0,f1end,76.4957,F,WT
0,f2ini,70.7183,F,WT
0,f2max,72.4744,F,WT
0,f2end,70.8020,F,WT
0,f1ini,90.0332,F,WT
0,f1max,94.3723,F,WT
0,f1end,91.4233,F,WT
0,f2ini,79.6317,F,WT
0,f2max,79.9440,F,WT
0,f2end,72.5770,F,WT
0,f1ini,71.2799,F,WT
0,f1max,80.1644,F,WT
0,f1end,79.4449,F,WT
0,f2ini,68.5229,F,WT
0,f2max,68.3767,F,WT
0,f2end,65.2818,F,WT
0,f1ini,80.5989,F,WT
0,f1max,81.3183,F,WT
0,f1end,80.4722,F,WT
0,f2ini,81.0445,F,WT
0,f2max,78.7581,F,WT
0,f2end,78.2800,F,WT
0,f1ini,86.7158,F,WT
0,f1max,90.4170,F,WT
0,f1end,85.8969,F,WT
0,f2ini,86.6371,F,WT
0,f2max,85.6907,F,WT
0,f2end,80.0795,F,WT
0,f1ini,88.7684,F,WT
0,f1max,87.9346,F,WT
0,f1end,86.8638,F,WT
0,f2ini,78.5721,F,WT
0,f2max,84.8945,F,WT
0,f2end,72.2837,F,WT
0,f1ini,90.9295,F,WT
0,f1max,90.1494,F,WT
0,f1end,80.6852,F,WT
0,f2ini,73.0405,F,WT
0,f2max,76.1218,F,WT
0,f2end,73.7533,F,WT
0,f1ini,79.3842,F,WT
0,f1max,88.9577,F,WT
0,f1end,73.7000,F,WT
0,f2ini,74.4193,F,WT
0,f2max,71.9747,F,WT
0,f2end,72.0075,F,WT
0,f1ini,96.2774,F,WT
0,f1max,97.3742,F,WT
0,f1end,88.6888,F,WT
0,f2ini,82.1542,F,WT
0,f2max,85.3675,F,WT
0,f2end,79.5456,F,WT
0,f1ini,85.8750,M,WT
0,f1max,86.8906,M,WT
0,f1end,84.9219,M,WT
0,f2ini,81.0156,M,WT
0,f2max,82.0312,M,WT
0,f2end,70.2734,M,WT
0,f1ini,92.7344,M,WT
0,f1max,93.7500,M,WT
0,f1end,89.8047,M,WT
0,f2ini,88.8281,M,WT
0,f2max,88.8672,M,WT
0,f2end,88.8281,M,WT
0,f1ini,63.1344,M,WT
0,f1max,63.7501,M,WT
0,f1end,74.8047,M,WT
0,f2ini,70.8281,M,WT
0,f2max,71.8672,M,WT
0,f2end,68.8281,M,WT
0,f1ini,70.7344,M,WT
0,f1max,72.7504,M,WT
0,f1end,72.8047,M,WT
0,f2ini,77.8281,M,WT
0,f2max,80.8672,M,WT
0,f2end,72.8281,M,WT
0,f1ini,80.7344,M,WT
0,f1max,83.7508,M,WT
0,f1end,70.8047,M,WT
0,f2ini,75.8281,M,WT
0,f2max,75.8672,M,WT
0,f2end,75.8281,M,WT
0,f1ini,86.6182,M,WT
0,f1max,87.1618,M,WT
0,f1end,84.3560,M,WT
0,f2ini,81.4532,M,WT
0,f2max,81.6864,M,WT
0,f2end,71.1455,M,WT
0,f1ini,93.7145,M,WT
0,f1max,95.3426,M,WT
0,f1end,90.0866,M,WT
0,f2ini,88.9173,M,WT
0,f2max,90.5566,M,WT
0,f2end,89.2680,M,WT
0,f1ini,63.7727,M,WT
0,f1max,64.9441,M,WT
0,f1end,75.5618,M,WT
0,f2ini,71.3437,M,WT
0,f2max,71.9206,M,WT
0,f2end,69.8642,M,WT
